society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
Aa3,Nama,xd3,nama1265,Nama,Khoe-Kwadi,EA023,1,Cross-cousin,1840,Gei/Khauan tribe,
Ab1,Herero,xd10,here1253,Herero,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ab14,Lovedu,xd15,lobe1242,Lobedu,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ab2,Swazi,xd21,swat1243,Swati,Atlantic-Congo,EA023,1,Cross-cousin,1880,,
Ab5,Mbundu,xd28,umbu1257,Umbundu,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ab6,Venda,xd29,vend1245,Venda,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ab7,Nyaneka,xd30,nyan1305,Nyaneka,Atlantic-Congo,EA023,1,Cross-cousin,1920,"Banianeka, Munyaneka, Ovanyaneka, Vanyaneka",
Ac10,Chewa,xd34,chew1246,Chewa,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac11,Luvale,xd35,luva1239,Luvale,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ac12,Chokwe,xd36,chok1245,Chokwe,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac13,Tonga,xd37,tong1321,Tonga (Nyasa),Atlantic-Congo,EA023,1,Cross-cousin,1950,,
Ac14,Bakongo,xd38,sans1272,Cimbala-Cizali,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ac17,Suku,xd41,suku1259,Suku,Atlantic-Congo,EA023,1,Cross-cousin,1910,Feshi territory lineage center,
Ac21,Bunda,xd46,mpuo1241,Mbuun,Atlantic-Congo,EA023,1,Cross-cousin,1910,,But the most highly preferred marriage is with a MoBrDaDa
Ac27,Luchazi,xd52,luch1239,Luchazi,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ac28,Luimbe,xd53,luim1238,Luimbi,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ac3,Bemba,xd55,town1238,Town Bemba,Atlantic-Congo,EA023,1,Cross-cousin,1900,Zambia branch,
Ac30,Plateau Tonga,xd56,tong1318,Tonga (Zambia),Atlantic-Congo,EA023,1,Cross-cousin,1940,,"But formerly 'cross-cousin' (code ""1"")"
Ac32,Kaonde,xd58,kaon1241,Kaonde,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac34,Luapula,xd60,luun1238,Luunda,Atlantic-Congo,EA023,1,Cross-cousin,1940,,
Ac35,Shila,xd61,luba1250,Luba-Katanga,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ac36,Tumbuka,xd62,tumb1250,Tumbuka,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac37,Kunda,xd63,kund1255,Chikunda,Atlantic-Congo,EA023,1,Cross-cousin,1950,,
Ac38,Nyanja,xd64,nucl1395,Nuclear Nyanja,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ac41,Makonde,xd68,mako1251,Makonde,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ac42,Makua,xd69,makh1264,Makhuwa,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ac5,Lamba,xd71,lamb1271,Lamba,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac6,Ndembu,xd72,lund1266,Lunda,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ac7,Yao,xd73,yaoo1241,Yao,Atlantic-Congo,EA023,1,Cross-cousin,1920,,
Ac9,Ngoni,xd75,ngon1269,Ngoni,Atlantic-Congo,EA023,1,Cross-cousin,1940,with special reference to the Mpezeni group of Fort Jameson,
Ad11,Bena,xd78,bena1262,Bena (Tanzania),Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Ad14,Luguru,xd81,lugu1238,Luguru,Atlantic-Congo,EA023,1,Cross-cousin,1930,Morogoro District,
Ad15,Iwa,xd82,nyam1275,Nyamwanga,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ad23,Sangu,xd91,sang1330,Sangu (Tanzania),Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ad24,Gogo,xd92,gogo1263,Gogo,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ad27,Kwere,xd95,kwer1261,Kwere,Atlantic-Congo,EA023,1,Cross-cousin,1880,,
Ad38,Kara,xd107,kara1481,Kara (Tanzania),Atlantic-Congo,EA023,1,Cross-cousin,1910,,Inferred from specific statements that cousin marriages are allowed and that there are distinct terms for male and female cousins
Ad8,Hehe,xd125,hehe1240,Hehe,Atlantic-Congo,EA023,1,Cross-cousin,1910,with special reference to the northern or Iringa group,
Ae10,Banyaruanda,xd128,kiny1244,Kinyarwanda,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ae13,Bashi,xd131,shii1238,Shi,Atlantic-Congo,EA023,1,Cross-cousin,1920,,"Entry follows Colle; Roy reports 'no first/second cousins' (code ""7"")"
Ae14,Ha,xd132,haaa1252,Ha,Atlantic-Congo,EA023,1,Cross-cousin,1950,,
Ae8,Rundi,xd184,rund1242,Rundi,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Af3,Ashanti,xd208,asan1239,Asante,Atlantic-Congo,EA023,1,Cross-cousin,1900,Kumasi State,A slight preference for MoBrDa
Af36,Ewe,xd215,aguu1242,Agu (Ewe),Atlantic-Congo,EA023,1,Cross-cousin,1900,with special reference to the Glidyi,
Af38,Abron,xd217,abro1238,Abron,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Af39,Anyi,xd218,anyi1245,Anyin,Atlantic-Congo,EA023,1,Cross-cousin,1900,with special reference to the Ndenie,
Af4,Yako,xd219,loka1252,Lokaa,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Af40,Assini,xd220,abur1243,Abure,Atlantic-Congo,EA023,1,Cross-cousin,1890,"with special reference to the Abure (Akapless, Asoko, Esuma)",
Af42,Fante,xd222,fant1241,Fante,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Af8,Nupe,xd242,nupe1254,Nupe-Nupe-Tako,Atlantic-Congo,EA023,1,Cross-cousin,1930,,
Af9,Baule,xd243,baou1238,Baoulé,Atlantic-Congo,EA023,1,Cross-cousin,1900,,
Ag1,Bambara,xd244,bamb1269,Bambara,Mande,EA023,1,Cross-cousin,1920,Segou to Bamako on Niger River,"But 'no first cousins' (code ""8"") or 'cross-cousin' (code ""1"") in some districts"
Ag11,Lobi,xd246,lobi1245,Lobi,Atlantic-Congo,EA023,1,Cross-cousin,1910,,
Ag22,Serer,xd258,sere1260,Sereer,Atlantic-Congo,EA023,1,Cross-cousin,1920,with special reference to those of Sine,
Ag23,Kasonke,xd259,xaas1235,Xaasongaxango,Mande,EA023,1,Cross-cousin,1910,,Inferred from statement that marriage is forbidden with a parallel cousin
