society_id,society_name,society_xd_id,language_glottocode,language_name,language_family,variable_id,code,code_label,focal_year,sub_case,comment
B145,Cupeño,xd1132,cupe1243,Cupeño,Uto-Aztecan,B014,0.0,,1870,,Binford estimate
B156,Tongva,xd1128,tong1329,Tongva,Uto-Aztecan,B014,0.0,,1770,,Binford estimate
B161,Chumash,xd1127,cruz1243,Cruzeño,Chumashan,B014,0.0,,1860,,Binford estimate
B165,Kashaya Pomo,xd1418,kash1280,Kashaya,Pomoan,B014,0.0,,1860,,
B173,Northern Pomo,xd1115,nort2966,Northern Pomo,Pomoan,B014,0.0,,1860,,
B180,Hupa,xd1096,hupa1239,Hupa,Athabaskan-Eyak-Tlingit,B014,0.0,,1860,,
B182,Karuk,xd1095,karo1304,Karok,,B014,0.0,,1860,,
B21,Nayaka,xd914,jenn1240,Jennu Kurumba,Dravidian,B014,0.0,,1978,,
B25,Nivkh,xd617,gily1242,Nivkh,,B014,0.0,,1920,,
B275,Coos,xd1081,coos1249,Hanis,Coosan,B014,0.0,,1860,,
B284,Quileute,xd1077,quil1240,Quileute,Chimakuan,B014,0.0,,1880,,
B287,Haisla,xd1105,hais1244,Haisla,Wakashan,B014,0.0,,1880,,
B294,Koniag,xd999,koni1262,Koniag,Eskimo-Aleut,B014,0.0,,1840,,Binford estimate
B296,Kuskowagmut,xd1000,kusk1241,General Central Yup'ik,Eskimo-Aleut,B014,0.0,,1850,,
B298,Aleut,xd1067,east2533,Eastern Aleut,Eskimo-Aleut,B014,0.0,,1830,,
B299,Nunivak,xd1064,kusk1241,General Central Yup'ik,Eskimo-Aleut,B014,0.0,,1930,,
B319,Wishram,xd1150,wasc1239,Wasco-Wishram,Chinookan,B014,0.0,,1860,,
B364,Holikachuk,xd1013,holi1241,Holikachuk,Athabaskan-Eyak-Tlingit,B014,0.0,,1860,,
B369,Norton Sound Inuit,xd1014,kusk1241,General Central Yup'ik,Eskimo-Aleut,B014,0.0,,1870,,Binford estimate
B371,Kotzebue Sound Inuit,xd1016,kotz1238,Kotzebue Sound Inupiatun,Eskimo-Aleut,B014,0.0,,1880,,Binford estimate
B41,Bororo,xd1397,boro1282,Bororo,Bororoan,B014,0.0,,1920,,
B46,Calusa,xd919,calu1239,Calusa,Unclassifiable,B014,0.0,,1600,,
B7,Ayta (Pinatubo),xd904,boto1242,Botolan Sambal,Austronesian,B014,0.0,,1903,,
B70,Dorobo,xd2,okie1245,Okiek,Nilotic,B014,0.0,,1920,,
B87,Gidjingali,xd774,gunn1248,Gun-narda,Maningrida,B014,0.0,,1950,,
B148,Southern Valley Yokuts,xd1123,vall1251,Valley Yokuts,Yokutsan,B014,6.43736,,1860,,
B163,Nisenan,xd1111,nise1244,Nisenan,Maiduan,B014,8.0467,,1850,,
B172,Wappo,xd1119,wapp1239,Wappo,Yuki-Wappo,B014,12.87472,,1860,,
B22,Ainu,xd635,ainu1240,Hokkaido Ainu,Ainu,B014,12.87472,,1900,,
B184,Wiyot,xd1097,wiyo1248,Wiyot,Algic,B014,19.31208,,1860,,
B278,Quinault,xd1085,quin1251,Quinault,Salishan,B014,19.31208,,1860,,
B388,Tasiilaq,xd1040,tunu1234,Tunumiisiut,Eskimo-Aleut,B014,20.92142,,1880,,
B45,Nambikwara,xd1401,sout2994,Southern Nambikuára,Nambiquaran,B014,20.9215,,1938,,"Note, two estimates provided by Binford (20.92 km, 112.6 km); this entry is one of those estimates"
B15,Chenchu,xd672,chen1255,Chenchu,Dravidian,B014,22.53076,,1940,,
B155,Patwin,xd1121,patw1250,Patwin,Wintuan,B014,22.53076,,1850,,
B85,Mirrngadja,xd940,djin1252,Djinba,Pama-Nyungan,B014,22.53076,,1970,,
B286,Makah,xd1084,maka1318,Makah,Wakashan,B014,24.1401,,1860,,
B281,Tillamook,xd1080,till1254,Tillamook,Salishan,B014,25.74944,,,,
B379,Sivokamiut Inuit,xd1028,cent2128,Central Siberian Yupik,Eskimo-Aleut,B014,25.74944,,1920,,
B202,Eastern Mono,xd1164,mono1275,Mono (USA),Uto-Aztecan,B014,27.35878,,1870,,
