"Language","Glottocode","PC1","PC2"
"Malay, Manokwari Papuan","mala1479",-3.90090966621981,-0.647195333137279
"Malay, Manokwari Papuan","mala1479",-3.90090966621981,-0.647195333137279
"Minangkabau","mina1268",-3.46973345950425,-0.968928496590807
"English","stan1293",-0.215922286977675,2.8429559848937
"English","stan1293",-4.58412714127078,3.82361800391784
"Hebrew","hebr1245",-3.33570725754785,3.4467003165561
"Hebrew","hebr1245",-3.33570725754785,3.4467003165561
"Roon","roon1237",0.0476018802984535,-1.44910210173352
"Indonesian, Riau","riau1236",-0.831572993512817,-1.40468256080088
"Malay, Siak","siak1238",-1.36426838844811,-1.1995812835075
"Indonesian, Jakarta","cjin1234",-3.63675188077753,2.43417098134052
"Tukang Besi","tuka1247",-0.321494472646954,-1.46260413863194
"Wolio","woli1241",0.0476018802984535,-1.44910210173352
"Muna","muna1247",0.0476018802984535,-1.44910210173352
"Palu’e","palu1252",0.0476018802984535,-1.44910210173352
"Skou","skou1239",2.63492278027118,1.00225495426178
"Barupu","lago1243",0.0682053931587157,0.651310486604438
"Puare","puar1242",2.71547074549752,0.74820821711059
"Wersing","wers1238",2.39361071962756,0.621842097735096
"Iha","ihaa1241",0.783937627182657,0.665944581674349
"One","onee1245",2.07496911245957,0.402179673517601
"Kanum (Ngkâlmpw)","kanu1280",4.29172053642093,1.00716659342695
"Meyah","meya1236",-0.205740155172516,0.933376914341096
"Ireres",NA,0.607946782351523,0.580421025464282
"Sentani","nucl1632",0.0953983458075337,0.682014976199143
"Wooi","woii237",0.0476018802984535,-1.44910210173352
"Biak","biak1248",0.0476018802984535,-1.44910210173352
"Yali","yali1257",-0.764453261884172,-0.19829573284951
"Haruai","haru1245",-0.280540533813667,0.9340769372003
"Russian, Talitsk",NA,-3.44609515415824,0.843604618079798
"Maltese","malt1254",-3.33570725754785,3.4467003165561
"Mori Bawah","mori1268",0.0476018802984535,-1.44910210173352
"Mixtec, Diuxi-Tilantongo","diux1235",1.76740784934752,0.152501010495785
"Javanese, Tengger","teng1272",-1.36426838844811,-1.1995812835075
"Tagalog","taga1270",-2.39206322248674,-0.983439078089933
"Agutaynen","agut1237",-0.831572993512817,-1.40468256080088
"Mwotlâp","molt1237",-0.321494472646954,-1.46260413863194
"Taba (Makian-east)","east2440",0.0476018802984535,-1.44910210173352
"Waima’a","wain1252",0.0476018802984535,-1.44910210173352
"Balinese","bali1278",-3.34258485253518,-0.640930256001409
"Hatam","hata1243",-0.280540533813667,0.9340769372003
"Maybrat","maib1239",0.205248080129742,0.778594159534863
"Sougb","mani1235",-0.205740155172516,0.933376914341096
"Tok Pisin","tokp240",-3.63518143666929,3.14400348167355
"Kapampangan","pamp1243",-2.39206322248674,-0.983439078089933
"Mandarin","mand1415",-4.73898055473943,4.23645617423774
"Mandarin","mand1415",-4.73898055473943,4.23645617423774
"Tetun Dili","tetu1246",-3.63675188077753,2.43417098134052
"Vietnamese","viet1252",-6.13308356779857,4.15160291411734
"Thai","thai1261",-5.35565022271077,4.14113774995852
"Lao","laoo1244",-4.03375105807155,4.01162341452044
"Papiamentu","papi1253",-3.63518143666929,3.14400348167355
"Sranan","sran1240",-1.33607960626783,-0.181991653610219
"Bislama","bisl1239",-3.63518143666929,3.14400348167355
"Palauan","pala1344",-3.25390263614603,2.52427643121405
"Bengkulu","beng1290",-0.321494472646954,-1.46260413863194
"Besemah",NA,-0.321494472646954,-1.46260413863194
"Malay, North Maluku","nort2828",-1.36426838844811,-1.1995812835075
"Malay, Kuala Lumpur","kual1254",-1.36426838844811,-1.1995812835075
"Malay, Kuching","sara1351",-1.36426838844811,-1.1995812835075
"Xârâcùù","xara1244",-0.321494472646954,-1.46260413863194
"Ainu","ainu1252",4.87924050114523,0.80747610384723
"Ona-Selknam","oona1245",1.74842951811136,0.931313667072652
"Seychelles Creole","sese1246",-3.63518143666929,3.14400348167355
"Nivkh","nivk1234",2.33384106425895,0.508170215605524
"French, standard","stan1290",-4.43757401976108,3.71861352730758
"Sundanese","sund1252",-2.39206322248674,-0.983439078089933
"Nage","nage1237",-0.321494472646954,-1.46260413863194
"Tidore","tido1248",4.14598339816878,1.20456531303027
"Ju|’hoan","juho1239",4.70220115053859,1.28054935638781
"Ju|’hoan","juho1239",3.82392198028486,0.451508024655046
"Mentawai","ment1249",-0.58459214074487,-1.31996503221171
"Kerinci","keri1250",0.0476018802984535,-1.44910210173352
"Mpur","mpur1239",1.73733367519791,1.00366690387274
"Abun","abun1252",1.73733367519791,1.00366690387274
"Äiwoo","ayin1239",-0.321494472646954,-1.46260413863194
"Hiw","hiww1237",-0.321494472646954,-1.46260413863194
"Onya Darat","sema1269",-1.36426838844811,-1.1995812835075
"Magey Matbat",NA,-1.36426838844811,-1.1995812835075
"Ambai","amba1265",0.0476018802984535,-1.44910210173352
"I’saka","kris1246",2.71547074549752,0.74820821711059
"Sinaugoro","sina1266",-0.831572993512817,-1.40468256080088
"Tsou","tsou1248",0.0476018802984535,-1.44910210173352
"Seediq","taro1264",0.766901610827876,-1.3206066553128
"Ilokano","ilok1237",-2.39206322248674,-0.983439078089933
"Sinama",NA,0.0476018802984535,-1.44910210173352
"Kimaragang","kima1244",0.0476018802984535,-1.44910210173352
"Malagasy",NA,-1.36426838844811,-1.1995812835075
"Eastern Cham","east2563",-1.47979262987886,-0.753792536008002
"Moklen","mokl1243",0.0476018802984535,-1.44910210173352
"Karo Batak","bata1293",0.0476018802984535,-1.44910210173352
"Buol","buol1237",-0.321494472646954,-1.46260413863194
"Makassar","maka1311",-2.65578200372163,-0.91677656828919
"Kambera","kamb1299",-1.81711449193637,-1.20225771322458
"Ata","ataa1240",4.80311535324942,0.782579622095607
"Babanki","baba1266",-1.90908879691238,-1.30933963024714
"Lamaholot, Lewoingu",NA,-1.36426838844811,-1.1995812835075
"Kei","keii1239",-0.344207218740963,-1.4648787082529
"Ot Danum, Kadorih","kado1243",-0.321494472646954,-1.46260413863194
"Sumbawa","sumb1241",-2.17765732599905,-0.837809425537951
"Penan, Benalui",NA,-1.36426838844811,-1.1995812835075
"Kenyah, Lebu’ Kulit","lepo1241",0.0476018802984535,-1.44910210173352
"Kenyah, Òma Lóngh",NA,0.0476018802984535,-1.44910210173352
"Kayan (Baram)","bara1370",0.0476018802984535,-1.44910210173352
"Punan, Malinau",NA,-1.36426838844811,-1.1995812835075
"Lamaholot, Lewotobi","lewo1244",-0.321494472646954,-1.46260413863194
"Gayo","gayo1244",0.0476018802984535,-1.44910210173352
"Arabic, Omani","oman1239",-0.643553787244067,-0.256203629572336
"Malay, Kupang","kupa1239",-2.39206322248674,-0.983439078089933
"French, colloquial","d/stan1290",-3.44609515415824,0.843604618079798
"Sasak","sasa1249",-0.831572993512817,-1.40468256080088
"Li’o","lioo1240",-0.321494472646954,-1.46260413863194
"Ngada","ngad1267",-0.321494472646954,-1.46260413863194
"Pendau","pend1242",0.0476018802984535,-1.44910210173352
"Ratahan","rata1244",1.20616183072388,-1.09225568455086
"Lauje","lauj1238",0.0476018802984535,-1.44910210173352
"Pamona","pamo1252",-0.71192823963008,-1.22534907598205
"Tolaki","tola1247",0.0476018802984535,-1.44910210173352
"Padoe","pado1242",0.0476018802984535,-1.44910210173352
"Kulisusu","kuli1254",-0.321494472646954,-1.46260413863194
"Hiligaynon","hili1240",-2.39206322248674,-0.983439078089933
"Yogad","yoga1237",0.0476018802984535,-1.44910210173352
"Saliba","sali1295",-0.831572993512817,-1.40468256080088
"Sulka","sulk1246",1.73733367519791,1.00366690387274
"Lun Dayeh","lund1271",-0.831572993512817,-1.40468256080088
"Sa’ban","saba1265",0.0476018802984535,-1.44910210173352
"Manggarai","mang1405",-0.321494472646954,-1.46260413863194
"Punan, Tubu’","puna1266",0.0476018802984535,-1.44910210173352
"Tamil","tami1289",-4.12928962395788,1.28983880470785
"Tamil","tami1289",-4.12928962395788,1.28983880470785
"Moor",NA,1.24651353436738,-1.09970204714723
"Carrier","carr1250",4.31935340315427,0.811619214018098
"Tetun Terik",NA,-0.831572993512817,-1.40468256080088
"Adang","adan1251",2.66589316022013,0.361464371390754
"Agta, Dupaningan","dupa1235",0.0476018802984535,-1.44910210173352
"Dela-Oenale","dela1251",-0.321494472646954,-1.46260413863194
"Uab Meto","uabm1237",-0.831572993512817,-1.40468256080088
"Dhao","dhao1237",-0.831572993512817,-1.40468256080088
"Helong","helo1243",0.0476018802984535,-1.44910210173352
"Buru","buru1298",0.0476018802984535,-1.44910210173352
"Malay, Jambi","jamb1236",-0.321494472646954,-1.46260413863194
"Malay, Pontianak",NA,-1.36426838844811,-1.1995812835075
"Yoruba","yoru1245",-2.73523012418601,-0.747817282224794
"Teop","teop1238",0.0476018802984535,-1.44910210173352
"Samoan","samo1305",-2.36717351595606,2.24264204460594
"Samoan","samo1305",-4.18757446413818,2.01583088184088
"Udihe","udih1248",3.72257544959843,0.44188857850134
"Manchu","manc1252",4.47880890028702,0.686667415572613
"Even","even1260",4.03714109237524,0.85434512767451
"Persian",NA,-3.44609515415824,0.843604618079798
"Vafsi","vasf1240",0.836892404226228,-0.348761516692189
"Aramaic, Urmi Christian",NA,-0.656489004767747,-0.226021924869383
"Azeri","mode1262",-3.31247137080409,3.76946573642849
"Armenian, Eastern","nucl1235",-4.46686554868657,3.71165288291067
"Armenian, Eastern","nucl1235",-4.46686554868657,3.71165288291067
"Armenian, Eastern","nucl1235",-4.46686554868657,3.71165288291067
"Yakan","yaka1277",-1.98886950188646,-1.0673255821274
"Begak","bega1240",0.0476018802984535,-1.44910210173352
"Jahai","jeha1242",0.798770858259089,-0.196605985461019
"Maisin","mais1250",-0.831572993512817,-1.40468256080088
"Gumawana","guma1254",-0.831572993512817,-1.40468256080088
"Labu","labo1248",0.0476018802984535,-1.44910210173352
"Semelai","seme1247",0.798770858259089,-0.196605985461019
"Khasi","khas1269",-1.1975639148088,-0.0595891507104107
"Kurukh","kuru1302",-1.34594065931025,-0.139893517997213
"Kabardian","kaba1278",-0.686456702864047,0.456749875111795
"Jalonke  (Yalunka)","yalu1240",-1.29624123294456,0.0909059341897695
"Totonac, Misantla","yecu1235",2.73271413048233,0.721525812881576
"Abui","abui1241",-0.947757810535552,0.368226781570076
"Atayal","atay1247",0.50757645521985,-1.12807196705708
"Takia","taki1248",-0.831572993512817,-1.40468256080088
"Kilivila  (Trobriands)","kili1267",-1.1361862563744,-1.31720791982721
"Guaraní (Paraguayan)","para1311",4.13127843750041,0.713622019622805
"Griqua",NA,4.12259814022883,0.625510245822872
"Ewe","ewee1241",-4.1006410158945,-0.663563307476699
"Ewe","ewee1241",-4.1006410158945,-0.663563307476699
"Avatime","avat1244",-1.90908879691238,-1.30933963024714
"Hindi","hind1269",-3.63518143666929,3.14400348167355
"Bangla","beng1280",-4.77246739205473,4.14597469556145
"Punjabi","panj1256",-2.41532634520995,0.150904559083887
"Braj","braj1242",-1.03324721067388,-0.363525559505207
"Kumaoni","kuma1273",-1.03324721067388,-0.363525559505207
"Garhwali","garh1243",-1.03324721067388,-0.363525559505207
"Great Andamanese","grea1241",4.34307217924502,0.493839301466298
"Kharia","krar1287",0.935972511468989,0.456126014717343
"Mundari","mund1320",-1.34946792975378,-0.0694931383135682
"Mundari","mund1320",-1.34946792975378,-0.0694931383135682
"Jarawa","jara1245",0.774263641980987,0.658669683668421
"Onge","onge1236",1.5537517888693,0.896343924860428
"Lezgian","lezg1247",-1.28165919404705,0.271097841079806
"Mosetén","mose1249",1.73733367519791,1.00366690387274
"Kisar","kisa1266",-0.831572993512817,-1.40468256080088
"Balantak","bala1315",-0.831572993512817,-1.40468256080088
"Duri","duri1242",0.0476018802984535,-1.44910210173352
"Larike","lari1256",0.0476018802984535,-1.44910210173352
"Wetan","weta1243",-0.831572993512817,-1.40468256080088
"Indonesian, Standard","indo1316",-3.63675188077753,2.43417098134052
"Indonesian, Standard","indo1316",-3.63675188077753,2.43417098134052
"Finnish","finn1318",-4.1515592353861,4.06266501690479
"Estonian","esto1258",-4.74242460652159,4.68739919481267
"Mehri","mehr1241",0.883658236659554,-0.179451780610478
"Katukina-Kanamari","kana1291",0.774263641980987,0.658669683668421
"Trumai","trum1247",3.12524863080434,-0.210667426047035
"Movima","movi1243",3.13347857805566,0.72603146486234
"Emai","emai1242",-2.43800652835428,-1.09231857079349
"N|uu",NA,4.73513703818181,0.812489433084335
"Sandawe","sand1273",0.470373987133118,0.520972082489458
"Yucatec","yuca1254",-1.80149320412778,0.356384008802315
"Vilela","vile1241",4.85647055442225,0.555425599292356
"Mohawk","moha1258",4.22192796364756,1.06193967403516
"Pomo, Eastern","east2545",3.95577927597982,0.60512712264462
"Yupik, Central","yupi1267",4.37093091034246,1.02065662301114
"Navajo","nava1243",0.571978881441383,-0.138284977713555
