Language,Glottocode,Glottocode_original,note,Polity_Complexity_Rank,polity_complexity,family_size_glottolog,EGIDS,Family Glottolog
"Malay, Manokwari Papuan",mala1479,mala1479,,,,1277, ,Austronesian
Minangkabau,mina1268,mina1268,,,,1277,5,Austronesian
English,stan1293,stan1293,,1,National Language: World,589,0,Indo-European
Hebrew,hebr1245,anci1244,,2,National Language: Primary,375,1,Afro-Asiatic
Roon,roon1237,roon1237,,,,1277,6b*,Austronesian
"Indonesian, Riau",riau1236,Ø,,,,1277,5*,Austronesian
"Malay, Siak",siak1238,siak1238,,,,1277, ,Austronesian
"Indonesian, Jakarta",cjin1234,cjin1234,,,,1277,1,Austronesian
Tukang Besi,tuka1247,tuka1247,,,,1277,6a,Austronesian
Wolio,woli1241,woli1241,,,,1277,6b,Austronesian
Muna,muna1247,muna1247,,,,1277,6b,Austronesian
Palu’e,palu1252,palu1252,,,,1277,6b,Austronesian
Skou,skou1239,skou1239,,,,10,6a,Sko
Barupu,lago1243,lago1243,,,,10,5,Sko
Puare,puar1242,puar1242,,,,10,8a,Sko
Wersing,wers1238,wers1238,,,,23,6a,Timor-Alor-Pantar
Iha,ihaa1241,ihaa1241,,,,3,6a,West Bomberai
One,onee1245,onee1245,,,,55,6b,Nuclear Torricelli
Kanum (Ngkâlmpw),kanu1280,kanu1280,,,,19,6b,Yam
Meyah,meya1236,meya1236,,,,3,5*,East Bird�s Head
Ireres,Ø,Ø,,,,3, ,East Bird�s Head
Sentani,nucl1632,nucl1632,,,,4,5*,Sentanic
Wooi,woii237,woii237,,,,1277,6b,Austronesian
Biak,biak1248,biak1248,,,,1277,6b*,Austronesian
Yali,yali1257,yali1257,,,,316,5*,Nuclear Trans New Guinea
Haruai,haru1245,haru1245,,,,2,5,Piawi
"Russian, Talitsk",Ø,Ø,,,,589, ,Indo-European
Maltese,malt1254,malt1254,,,,375,1,Afro-Asiatic
Mori Bawah,mori1268,mori1268,,,,1277,6b,Austronesian
"Mixtec, Diuxi-Tilantongo",diux1235,diux1235,,,,180,6b,Otomanguean
"Javanese, Tengger",teng1272,teng1272,,,,1277, ,Austronesian
Tagalog,taga1270,taga1270,,,,1277,3,Austronesian
Agutaynen,agut1237,agut1237,,,,1277,5,Austronesian
Mwotlâp,molt1237,molt1237,,,,1277,6a,Austronesian
Taba (Makian-east),east2440,Ø,East Makian,,,1277,6b*,Austronesian
Waima’a,wain1252,wain1252,,,,1277,6b*,Austronesian
Balinese,bali1278,bali1278,,,,1277,5,Austronesian
Hatam,hata1243,hata1243,,,,2,5*,Hatam-Mansim
Maybrat,maib1239,Ø,Maybrat-Karon,,,1,5,Maybrat-Karon
Sougb,mani1235,mani1235,,,,3,5*,East Bird�s Head
Tok Pisin,tokp240,tokp240,,,,589,1,Indo-European
Kapampangan,pamp1243,Ø,Pampanga,,,1277,3,Austronesian
Mandarin,mand1415,mand1415,,,,496,1,Sino-Tibetan
Tetun Dili,tetu1246,tetu1246,,,,1277,1,Austronesian
Vietnamese,viet1252,viet1252,,,,156,1,Austroasiatic
Thai,thai1261,thai1261,,,,95,1,Tai-Kadai
Lao,laoo1244,laoo1244,,,,95,1,Tai-Kadai
Papiamentu,papi1253,papi1253,,,,589,1,Indo-European
Sranan,sran1240,sran1240,,,,589,3,Indo-European
Bislama,bisl1239,bisl1239,,,,589,1,Indo-European
Palauan,pala1344,pala1344,,,,1277,1,Austronesian
Bengkulu,beng1290,beng1290,,,,1277,6a,Austronesian
Besemah,Ø,Ø,,,,1277,6a,Austronesian
"Malay, North Maluku",nort2828,Ø,,,,1277, ,Austronesian
"Malay, Kuala Lumpur",kual1254,Ø,,,,1277, ,Austronesian
"Malay, Kuching",sara1351,Ø,Sarawak Malay,,,1277, ,Austronesian
Xârâcùù,xara1244,xara1244,,,,1277,6a*,Austronesian
Ainu,ainu1252,ainu1252,,,,3,8b,Ainu
Ona-Selknam,oona1245,oona1245,,,,4, ,Chonan
Seychelles Creole,sese1246,sese1246,,,,589,1,Indo-European
Nivkh,nivk1234,nivk1234,,,,3,8a,Nivkh
"French, standard",stan1290,stan1290,,,,589,1,Indo-European
Sundanese,sund1252,sund1252,,,,1277,3,Austronesian
Nage,nage1237,nage1237,,,,1277,6a*,Austronesian
Tidore,tido1248,tido1248,,,,15,6a*,North Halmahera
Ju|’hoan,juho1239,juho1239,,,,5, ,Kxa
Mentawai,ment1249,ment1249,,,,1277,5*,Austronesian
Kerinci,keri1250,keri1250,,,,1277,6b*,Austronesian
Mpur,mpur1239,mpur1239,,,,1,6b*,Mpur
Abun,abun1252,abun1252,,,,1,6b*,Abun
Äiwoo,ayin1239,ayin1239,,,,1277,6a,Austronesian
Hiw,hiww1237,hiww1237,,,,1277,6a,Austronesian
Onya Darat,sema1269,sema1269,,,,1277, ,Austronesian
Magey Matbat,Ø,Ø,,,,1277, ,Austronesian
Ambai,amba1265,amba1265,,,,1277,6b*,Austronesian
I’saka,kris1246,kris1246,,,,10,8a,Sko
Sinaugoro,sina1266,sina1266,,,,1277,5*,Austronesian
Tsou,tsou1248,tsou1248,,,,1277,6b,Austronesian
Seediq,taro1264,taro1264,,,,1277,8a,Austronesian
Ilokano,ilok1237,ilok1237,,,,1277,3,Austronesian
Sinama,Ø,Ø,,,,1277,6b*,Austronesian
Kimaragang,kima1244,kima1244,,,,1277,6b,Austronesian
Malagasy,Ø,Ø,,,,1277, ,Austronesian
Eastern Cham,east2563,east2563,,,,1277,6b*,Austronesian
Moklen,mokl1243,mokl1243,,,,1277,6b*,Austronesian
Karo Batak,bata1293,bata1293,,,,1277,6b,Austronesian
Buol,buol1237,buol1237,,,,1277,6a,Austronesian
Makassar,maka1311,maka1311,,,,1277,6b,Austronesian
Kambera,kamb1299,kamb1299,,,,1277,5*,Austronesian
Ata,ataa1240,ataa1240,,,,1,8b,Pele-Ata
Babanki,baba1266,baba1266,,,,1433,5,Atlantic-Congo
"Lamaholot, Lewoingu",Ø,Ø,,,,1277, ,Austronesian
Kei,keii1239,keii1239,,,,1277,6a,Austronesian
"Ot Danum, Kadorih",kado1243,kado1243,,,,1277,6a*,Austronesian
Sumbawa,sumb1241,sumb1241,,,,1277,6a*,Austronesian
"Penan, Benalui",Ø,Ø,,,,1277, ,Austronesian
"Kenyah, Lebu’ Kulit",lepo1241,lepo1241,,,,1277,6b*,Austronesian
"Kenyah, Òma Lóngh",Ø,Ø,,,,1277,6b,Austronesian
Kayan (Baram),bara1370,bara1370,,,,1277,6b,Austronesian
"Punan, Malinau",Ø,Ø,,,,1277, ,Austronesian
"Lamaholot, Lewotobi",lewo1244,lewo1244,,,,1277,6a*,Austronesian
Gayo,gayo1244,gayo1244,,,,1277,6b,Austronesian
"Arabic, Omani",oman1239,oman1239,,,,375,6a*,Afro-Asiatic
"Malay, Kupang",kupa1239,kupa1239,,,,1277,3,Austronesian
"French, colloquial",d/stan1290,stan1290,,,,589, ,Indo-European
Sasak,sasa1249,sasa1249,,,,1277,5*,Austronesian
Li’o,lioo1240,lioo1240,,,,1277,6a*,Austronesian
Ngada,ngad1267,ngad1267,,,,1277,6a*,Austronesian
Pendau,pend1242,pend1242,,,,1277,6b,Austronesian
Ratahan,rata1244,rata1244,,,,1277,8b,Austronesian
Lauje,lauj1238,lauj1238,,,,1277,6b,Austronesian
Pamona,pamo1252,pamo1252,,,,1277,6b,Austronesian
Tolaki,tola1247,tola1247,,,,1277,6b,Austronesian
Padoe,pado1242,pado1242,,,,1277,6b,Austronesian
Kulisusu,kuli1254,kuli1254,,,,1277,6a,Austronesian
Hiligaynon,hili1240,hili1240,,,,1277,3,Austronesian
Yogad,yoga1237,yoga1237,,,,1277,6b,Austronesian
Saliba,sali1295,sali1295,,,,1277,5,Austronesian
Sulka,sulk1246,sulk1246,,,,1,6b,Sulka
Lun Dayeh,lund1271,lund1271,,,,1277,5*,Austronesian
Sa’ban,saba1265,saba1265,,,,1277,6b,Austronesian
Manggarai,mang1405,mang1405,,,,1277,6a*,Austronesian
"Punan, Tubu’",puna1266,puna1266,,,,1277,6b*,Austronesian
Tamil,tami1289,tami1289,,,,80,2,Dravidian
Moor,Ø,Ø,,,,1277,7,Austronesian
Carrier,carr1250,carr1250,,,,46,7,Athabaskan-Eyak-Tlingit
Tetun Terik,Ø,Ø,,,,1277,5*,Austronesian
Adang,adan1251,adan1251,,,,23,6b,Timor-Alor-Pantar
"Agta, Dupaningan",dupa1235,dupa1235,,,,1277,6b,Austronesian
Dela-Oenale,dela1251,dela1251,,,,1277,6a,Austronesian
Uab Meto,uabm1237,uabm1237,,,,1277,5*,Austronesian
Dhao,dhao1237,dhao1237,,,,1277,5*,Austronesian
Helong,helo1243,helo1243,,,,1277,6b,Austronesian
Buru,buru1298,buru1298,,,,1277,6b,Austronesian
"Malay, Jambi",jamb1236,jamb1236,,,,1277,6a,Austronesian
"Malay, Pontianak",Ø,Ø,,,,1277, ,Austronesian
Yoruba,yoru1245,yoru1245,,,,1433,2,Atlantic-Congo
Teop,teop1238,teop1238,,,,1277,6b,Austronesian
Samoan,samo1305,samo1305,,,,1277,1,Austronesian
Udihe,udih1248,udih1248,,,,13,8a,Tungusic
Manchu,manc1252,manc1252,,,,13,8b,Tungusic
Even,even1260,even1260,,,,13,7,Tungusic
Persian,Ø,Ø,,,,589, ,Indo-European
Vafsi,vasf1240,vasf1240,,,,589,7,Indo-European
"Aramaic, Urmi Christian",Ø,Ø,,,,375, ,Afro-Asiatic
Azeri,mode1262,mode1262,,,,44,1,Turkic
"Armenian, Eastern",nucl1235,nucl1235,,,,589,1,Indo-European
Yakan,yaka1277,yaka1277,,,,1277,4,Austronesian
Begak,bega1240,bega1240,,,,1277,6b,Austronesian
Jahai,jeha1242,jeha1242,,,,156,6b,Austroasiatic
Maisin,mais1250,mais1250,,,,1277,5,Austronesian
Gumawana,guma1254,guma1254,,,,1277,5,Austronesian
Labu,labo1248,labo1248,,,,1277,6b*,Austronesian
Semelai,seme1247,seme1247,,,,156,6b*,Austroasiatic
Khasi,khas1269,khas1269,,,,156,2,Austroasiatic
Kurukh,kuru1302,kuru1302,,,,80,6b,Dravidian
Kabardian,kaba1278,kaba1278,,,,5,5*,Abkhaz-Adyge
Jalonke  (Yalunka),yalu1240,yalu1240,,,,75,5*,Mande
"Totonac, Misantla",yecu1235,yecu1235,,,,12,8a,Totonacan
Abui,abui1241,abui1241,,,,23,6a*,Timor-Alor-Pantar
Atayal,atay1247,atay1247,,,,1277,7,Austronesian
Takia,taki1248,taki1248,,,,1277,5,Austronesian
Kilivila  (Trobriands),kili1267,kili1267,,,,1277,5,Austronesian
Guaraní (Paraguayan),para1311,para1311,,,,71,6b,Tupian
Griqua,Ø,Ø,,,,14,8b,Khoe-Kwadi
Ewe,ewee1241,ewee1241,,,,1433,3,Atlantic-Congo
Avatime,avat1244,avat1244,,,,1433,5*,Atlantic-Congo
Hindi,hind1269,hind1269,,,,589,1,Indo-European
Bangla,beng1280,beng1280,,,,589,1,Indo-European
Punjabi,panj1256,panj1256,,,,589,2,Indo-European
Braj,braj1242,braj1242,,,,589,5*,Indo-European
Kumaoni,kuma1273,kuma1273,,,,589,5,Indo-European
Garhwali,garh1243,garh1243,,,,589,5,Indo-European
Great Andamanese,grea1241,grea1241,,,,10,9,Great Andamanese
Kharia,krar1287,krar1287,,,,156,5*,Austroasiatic
Mundari,mund1320,mund1320,,,,156,5*,Austroasiatic
Jarawa,jara1245,jara1245,,,,2,6a,Jarawa-Onge
Onge,onge1236,onge1236,,,,2,6b,Jarawa-Onge
Lezgian,lezg1247,lezg1247,,,,34,4,Nakh-Daghestanian
Mosetén,mose1249,mose1249,,,,1,6b,Moset�n-Chiman�
Kisar,kisa1266,kisa1266,,,,1277,5*,Austronesian
Balantak,bala1315,bala1315,,,,1277,5,Austronesian
Duri,duri1242,duri1242,,,,1277,6b,Austronesian
Larike,lari1256,lari1256,,,,1277,6b,Austronesian
Wetan,weta1243,weta1243,,,,1277,5*,Austronesian
"Indonesian, Standard",indo1316,indo1316,,,,1277,1,Austronesian
Finnish,finn1318,finn1318,,,,48,1,Uralic
Estonian,esto1258,esto1258,,,,48,1,Uralic
Mehri,mehr1241,mehr1241,,,,375,7,Afro-Asiatic
Katukina-Kanamari,kana1291,kana1291,,,,2,6a*,Katukinan
Trumai,trum1247,trum1247,,,,1,8a,Trumai
Movima,movi1243,movi1243,,,,1,8a,Movima
