"social_vars","grammatical_vars","estimates","lower_qts","higher_qts"
"code_B014","Alignment.of.case.marking.in.full.NPs..neutral...non.neutral._98",-0.0161412772806459,-0.058197633596849,0.00949887663085743
"code_B014","Alignment.of.case.marking.in.full.NPs..neutral...other.types...nominative.accusative._98",-0.00117319148833921,-0.00853890246216522,0.00537829678830761
"code_B014","Alignment.of.case.marking.in.pronouns..absent...present._99",-0.0171132089485131,-0.0683385539069116,0.0102950774037596
"code_B014","Alignment.of.case.marking.in.pronouns..others....accusative._99",-0.00107904504848382,-0.0080617761266928,0.00544769429095663
"code_B014","Alignment.of.case.marking.in.pronouns..others...accusative._99",-0.0168938185029773,-0.0685750527308773,0.0104763812058235
"code_B014","Alignment.of.case.marking.in.pronouns..others...tripartite._99",-0.00359120578124905,-0.0575017015112426,0.0409761447307159
"code_B014","Alignment.of.verbal.person.marking..neutral...non.neutral._100",-0.0075372038565765,-0.0551479216770372,0.0339373039687066
"code_B014","Alignment.of.verbal.person.marking..neutral...others...accusative.alignment._100",-0.000311506306477877,-0.0041314546458886,0.00369277572357944
"code_B014","Case.syncretism..no.cases...no.syncretism...syncretism._28",0.000542427680594926,-0.00476112246506291,0.0057309750908774
"code_B014","Degree.of.assymetrical.case.marking..no.cases...symmetrical...assymetrical._50",-0.000928186656350957,-0.00725544989108926,0.00568308259605705
"code_B014","Degree.of.case.marking..no.cases...border.line...2.cases....10.or.more.cases._49",0.00421470788101779,-0.0103559507797142,0.0188277880073502
"code_B014","Degree.of.differentiation.among.genetives..adjectives..and.relative.clauses..weak...moderate...strong._60",-0.00186855805592455,-0.0421489871476539,0.040700568645432
"code_B014","Degree.of.inflectional.synthesis..few....more._22",-0.00388328034804536,-0.0107991133547875,0.00298888674711138
"code_B014","Degree.of.person.marking.on.adpositions..no.adp....no.marking...marking.for.pronouns...marking.for.pronouns.and.nouns._48",0.00243391320132447,-0.00283932939643466,0.00781528062821413
"code_B014","Degree.of.reduplication..full...partial...none._27",-0.00212614430053421,-0.0063552895339182,0.00198780154519759
"code_B014","Degree.of.usage.of.numeral.classifiers..absent...optional...obligatory._55",9.81849551390471e-05,-0.0120239784789489,0.0135600623767422
"code_B014","Degrees.of.remoteness.in.past.tenses..no.past.tense...1.degree.of.remoteness....4..degrees.of.remoteness._66",0.00106993599473477,-0.0050829457158419,0.00688699160213804
"code_B014","Differentiation.between.intensifiers.and.reflexive.pronouns..no...yes._47",0.00928879454456978,-0.0283627891946896,0.0727692273927215
"code_B014","Differentiation.of.inclusive.exclusive.in.verbal.inflections..no...yes._40",-0.0151276243319697,-0.0691749523050953,0.0146487001274654
"code_B014","Distinction.between.perfective.and.imperfective.aspects..no...yes._65",0.0336945484735939,-0.00525936051292565,0.140947412221152
"code_B014","Encoding.of.nominal.and.locational.predication..shared...split._119",-0.00112998668586108,-0.0345449416491207,0.0381713576734641
"code_B014","Existence.of.a.dominant.adjective.degree.word.order..no...yes._91",0.00272390795258528,-0.0501512357252947,0.0635374407192412
"code_B014","Existence.of.a.dominant.adjective.noun.order..adj.not.modifying.nouns...no...yes._87",3.20101187844313e-05,-0.00180870267965052,0.00194711638897997
"code_B014","Existence.of.a.dominant.demonstrative.noun.order..no...yes._88",0.00983371001091084,-0.00598738392135558,0.037752794147525
"code_B014","Existence.of.a.dominant.genitive.noun.order..no...yes._86",0.0118454929144216,-0.0072416406783666,0.0498812834424703
"code_B014","Existence.of.a.dominant.numeral.noun.order..num.not.modifying.nouns...no...yes._89",0.00126912679493081,-0.0362458177029998,0.0451199062971505
"code_B014","Existence.of.a.dominant.object.oblique.verb.order..no...yes._84",-0.0154870683812299,-0.110667026794243,0.0294097676723086
"code_B014","Existence.of.a.dominant.object.verb.order..no...yes._83",0.00297614184022541,-0.00917023716273137,0.0198517214477148
"code_B014","Existence.of.a.dominant.question.particle.position..no.question.particle...no...yes._92",0.00120460310427908,-0.00210926168002428,0.00443082802894617
"code_B014","Existence.of.a.dominant.subject.verb.order..no...yes._82",-0.00196005003642301,-0.0157598881191609,0.0106625862489339
"code_B014","Existence.of.a.dominant.way.to.express.prenominal.subjects..no...yes._101",0.00821889643161931,-0.027022158131589,0.0685219744938387
"code_B014","Existence.of.a.dominant.word.order..no...yes._81",0.00419806270814745,-0.00941997038800107,0.0256320138742741
"code_B014","Existence.of.action.nominals..no...yes._62",-0.0253142629886255,-0.148145333436625,0.0212988025068001
"code_B014","Existence.of.affixes..no...yes._26",-0.000417222145933849,-0.0373152131161438,0.0452725033279025
"code_B014","Existence.of.antipassive.construction..no...yes._108",-0.0176581505614065,-0.0764607615156527,0.011146641642874
"code_B014","Existence.of.applicative.construction..no...yes._109",-0.0342775645480521,-0.135856726901724,0.00334818043198682
"code_B014","Existence.of.assymmetric.standard.negation..no...yes._113",-0.0405931549060793,-0.134946827587169,-0.00225490236225419
"code_B014","Existence.of.case.affixes..no...yes._51",-0.0115295412326429,-0.133606691579258,0.0132990500807939
"code_B014","Existence.of.definite.article..no...yes._37",-0.0200653323205216,-0.164956807411188,0.0178540156077816
"code_B014","Existence.of.distributive.numerals..no...yes._54",-0.00940312314396015,-0.0628568703985925,0.0239938828548722
"code_B014","Existence.of.evidentiality..no...yes._78",-0.0102458562075455,-0.051511939194042,0.0117301989977677
"code_B014","Existence.of.gender.distinctions.in.independent.personal.pronouns..no...yes._44",-0.00515262480979042,-0.0565438349201387,0.0313914521860244
"code_B014","Existence.of.grammatical.cases..no...yes.Syntax_49",-0.0772472865839689,-0.282476350985828,-0.00678210963276077
"code_B014","Existence.of.grammatical.genders..no...yes._30",0.0228964925420406,-0.0108119925035301,0.10361456480237
"code_B014","Existence.of.indefinite.article..no...yes._38",-0.0185817927660441,-0.101050798035493,0.0228719823109179
"code_B014","Existence.of.inflectional.marking.of.future.nonfuture.distinction..no...yes._67",-0.0325656885110318,-0.130639127223075,0.00520637749517395
"code_B014","Existence.of.inflectional.optative..no...yes._73",-0.00152374486489667,-0.0581545664091864,0.0485559944676796
"code_B014","Existence.of.marking..no...yes._25",-0.00650615729710805,-0.0553594147998363,0.0324935214480895
"code_B014","Existence.of.marking.on.the.direct.object..no...yes._23",-0.00591669513757262,-0.0497966258633747,0.0339173926761214
"code_B014","Existence.of.marking.on.the.possessor..no...yes._24",0.0122430267140956,-0.0190854983722857,0.0729741568974693
"code_B014","Existence.of.morphological.second.person.imperative..no.yes._70",-0.00479790730596109,-0.0500832746611914,0.0416141118498175
"code_B014","Existence.of.nominal.plurality..no...yes._33",0.010052922498589,-0.0369118153646847,0.101887933715296
"code_B014","Existence.of.nonperiphrastic.causative.constructions..no...yes._111",0.0017670467086524,-0.0519483463988807,0.0553185720675057
"code_B014","Existence.of.passive.construction..no...yes._107",0.018434019888026,-0.0110511666581596,0.0786420555456531
"code_B014","Existence.of.pronominal.possessive.affixes..no...yes._57",0.0102534996310566,-0.007093793652548,0.0477309711640916
"code_B014","Existence.of.sex.based.gender.systems..no...yes._31",0.0235063789601961,-0.0117874391053623,0.115943790144248
"code_B014","Existence.of.special.associative.plural.marker..no...yes._36",0.000328574626192177,-0.253716489582426,0.242550493708057
"code_B014","Existence.of.special.ways.to.utter.polar.questions..no...yes._116",0.0202006662665205,-0.00424536726562873,0.150540501279401
"code_B014","Existence.of.suppletion.in.tense.of.aspect..no...yes._79",-0.00245372806707009,-0.0607780175992982,0.047448202138928
"code_B014","Existence.of.tense.aspect.inflection..no...yes._69",-0.0113252113112143,-0.0385719300124913,0.00284193263925675
"code_B014","Existence.of.verbal.number.of.suppletion..no...yes._80",0.0054382952957607,-0.0429104763776162,0.0626223636990073
"code_B014","Existence.of.verbal.person.marking..no...yes._102",-0.00661831334504349,-0.0582232845581095,0.0428487765874526
"code_B014","Exixtence.of.perfect.tense..no...yes._68",-0.0331769687467253,-0.168114310908693,0.000211277918136008
"code_B014","Form.of.comparative.constructions..others...particle.comparative._121",1136162564285989888,-1655027129894488064,4615808756707589120
"code_B014","Form.of.relativization.on.subjects..non.reductions...others._122",-3689561480465210880,-22442462553326673920,1738300237319278848
"code_B014","Form.of.relativization.on.subjects..others...relative.pronouns._122",716212877918922368,-1549639477489478656,4284374082686042112
"code_B014","Forms.of.prenominal.and.adnominal.demonstratives..same...different._42",0.162964892978534,0.00519176709625959,0.703865053872414
"code_B014","Fusion..less....more._20",-2.90653097974901e-07,-2.22996816610412e-06,1.14039487346692e-06
"code_B014","Gender.assignment.system..no.gender...semantic...semantic.and.formal._32",7.67994750831852e-05,-0.00418538189297622,0.00419000410645505
"code_B014","Markers.for.nominal.and.verbal.conjunction..no.marker...identical.marker...separate.marker.for.each._64",-0.000585050576854112,-0.00474611945564573,0.00349115742896714
"code_B014","Number.of.arguments.marked.for.verbal.person..zero...one...two._102",0.00019043614223779,-0.00283832473040961,0.00266823095154026
"code_B014","Number.of.exponence.on.selected.inflectional.formatives..few....more._21",0.00144487528575834,-0.00476023239418702,0.00783858362813441
"code_B014","Number.of.grammatical.cases..few.cases....many.cases._49",0.028051638331276,-0.187157268677696,0.225875154753988
"code_B014","Number.of.grammatical.genders..few...more._30",0.000503773667845352,-0.00633343708023609,0.00765028383634248
"code_B014","Number.of.person.markers.on.the.verb..zero.or.one...two._104",-0.010294295743624,-0.0700916280022947,0.0392426640850503
"code_B014","Number.of.possessive.classes..few....more._59",-0.000725367775087101,-0.00584968035562144,0.00322153781703744
"code_B014","Obligatory.possessive.inflection..yes...no._58",0.12455464922247,0.0125245395052068,0.490747024444055
"code_B014","Obligatory.pronouns.in.the.subject.position..no...yes._101",-5.28207986148585e-05,-0.0446126982816874,0.0388665817799392
"code_B014","Occurance.of.adjectives.without.nouns..no.or.yes.without.marking...yes.with.marking._61",-0.0109713502479122,-0.136751819781676,0.0852778274815588
"code_B014","Occurance.of.nominal.plurality..no.plural....obligatory.plural.in.all.nouns._34",-5.63050788559235e-05,-0.0140549204080181,0.0143459469976194
"code_B014","Order.of.adposition.and.NP..no.adpositions...no.dominant.order...dominant.order.exists._85",-0.000519724798528481,-0.00219909593293016,0.00119664081325982
"code_B014","Possibility.of.zero.copula..possible...impossible._120",0.018009697669274,-0.01025330136102,0.086241504690473
"code_B014","Productivity.of.ordinal.formation..less....more._53",0.00189650803818717,-0.0173180630716167,0.019915989202226
"code_B014","Purpose.clauses..balanced....deranked._125",-0.041146626493784,-0.310180524537514,0.213616720140709
"code_B014","Reason.clauses..balanced....deranked._127",-0.0191874641554264,-0.189941962247702,0.14229934729158
"code_B014","Relatedness.between.third.person.pronouns.and.demonstratives..yes...no._43",-0.0287134283136571,-0.184337732529294,0.0539029484113342
"code_B014","Similarity.of.comitatives.and.instrumentals..same...different._52",-0.00221363161650344,-0.0172964559162126,0.0138555830881124
"code_B014","Syncretism.in.verbal.person.or.number.marking..no.marking...no.syncretism...syncretism._29",0.000238595188421931,-0.00605831992622097,0.00650841986422796
"code_B014","Third.person.zero.of.verbal.person.marking..no.marking....no.zero.realization...with.zero.realization._103",0.000464341286974257,-0.00356484235609789,0.00421580655015103
"code_B014","Utterance.complement.clauses..balanced....deranked._128",-0.0405492843901699,-0.309656242727403,0.225128368426597
"code_B014","When..clauses..balanced....deranked._126",-0.00184669075804236,-0.159199554121778,0.149004273219993
"code_B014","X.and..and..with...identical...different._63",0.00375920609441239,-0.050518832194134,0.0619554896237782
"code_EA023","Alignment.of.case.marking.in.full.NPs..neutral...non.neutral._98",0.137953951784159,-1.3502313089163,2.02901422539712
"code_EA023","Alignment.of.case.marking.in.full.NPs..neutral...other.types...nominative.accusative._98",-0.0129833341504359,-0.104917854355352,0.0751060312015645
"code_EA023","Alignment.of.case.marking.in.pronouns..absent...present._99",0.0708775169124637,-1.47400809289035,2.00848148665673
"code_EA023","Alignment.of.case.marking.in.pronouns..others....accusative._99",-0.00607319915810193,-0.100257517955163,0.087802789384628
"code_EA023","Alignment.of.case.marking.in.pronouns..others...accusative._99",0.695613948367383,-0.527696829772976,3.62766704498752
"code_EA023","Alignment.of.case.marking.in.pronouns..others...tripartite._99",-0.327954600085366,-1.27972966849779,0.334097559323998
"code_EA023","Alignment.of.verbal.person.marking..neutral...non.neutral._100",-1.29555364258137,-5.54081980664592,-0.240305168709318
"code_EA023","Alignment.of.verbal.person.marking..neutral...others...accusative.alignment._100",-0.100852719657453,-0.15821451350276,-0.0431706729269504
"code_EA023","Case.syncretism..no.cases...no.syncretism...syncretism._28",0.00217352986667187,-0.0636627532468508,0.0708434690512962
"code_EA023","Degree.of.assymetrical.case.marking..no.cases...symmetrical...assymetrical._50",0.0249300627704228,-0.0417549092265028,0.0999955092110265
"code_EA023","Degree.of.case.marking..no.cases...border.line...2.cases....10.or.more.cases._49",-0.074587105018661,-0.29134856221015,0.149140201539864
"code_EA023","Degree.of.differentiation.among.genetives..adjectives..and.relative.clauses..weak...moderate...strong._60",0.00501656275062297,-0.0766972646588557,0.0816896208648677
"code_EA023","Degree.of.inflectional.synthesis..few....more._22",-0.0904762435759885,-0.206376004536074,0.0189440506035543
"code_EA023","Degree.of.person.marking.on.adpositions..no.adp....no.marking...marking.for.pronouns...marking.for.pronouns.and.nouns._48",-5.48912042009026e-06,-0.0542560120961875,0.05347725881095
